item,value,provenance
Neural hardware,NVIDIA GeForce RTX 4090,Recorded by run manifests
CPU model,Not captured in frozen AutoDL manifests,Not reconstructed or fabricated
RAM,Not captured in frozen AutoDL manifests,Not reconstructed or fabricated
Python,3.12.3,Run manifests
PyTorch/CUDA,2.5.1+cu124,Run manifests
RDKit,2025.03.6 for docking; modeling canonicalization version in repository environment,Environment manifests
Neural benchmark runtime,"5,112.6 s summed across 34 reported runs",Run-level values in Table S5
Docking runtimes,"330.0 s redocking; 2,121.9 s 4LXZ panel; 2,134.9 s 4BKX sensitivity",CPU workflows
Split seed,42,Top-level grouping
Run seeds,1--5 pair; 1--3 other splits,Frozen benchmark
Crossed-bootstrap seed,20260719,"10,000 iterations"
Repository evidence snapshot,fefbf2f4fa7399983d4d4041dcb8e7e91b84d17f,"Corrected statistics, scripts, exclusions, and tracker on major-revision-2026"
